,Client,Date,Business Line,Product,Type,Identifier,Value
0,BDI,7/2022,Corporate Loyalty,LBMS,metrics,total_points,2612904.90450238155
1,BDI,7/2022,Corporate Loyalty,LBMS,metrics,points_accrued,416248.55666956965
2,BDI,7/2022,Corporate Loyalty,LBMS,metrics,points_redeemed,274849.79383772710
3,BDI,7/2022,Corporate Loyalty,LBMS,metrics,total_users,1322330
4,BDI,7/2022,Corporate Loyalty,LBMS,metrics,active_users,213982
5,BDI,7/2022,Corporate Loyalty,LBMS,metrics,accrual_gmv,75193519.061090
6,BDI,7/2022,Corporate Loyalty,LBMS,gross_revenue,management_fee,6030.000000
7,BDI,7/2022,Corporate Loyalty,LBMS,net_revenue,management_fee,6030.000000
8,BDI,7/2022,Corporate Loyalty,LBMS,gross_revenue,other_fee,82.443500
9,BDI,7/2022,Corporate Loyalty,LBMS,net_revenue,other_fee,82.443500
10,BDI,7/2022,Corporate Loyalty,LBMS,gross_revenue,redemption_cost,1263.16928514219
11,BDI,7/2022,Corporate Loyalty,LBMS,net_revenue,redemption_cost,0E-11
12,BDI,7/2022,Corporate Loyalty,LBMS,gross_revenue,redemption_cost,31519.92096021123
13,BDI,7/2022,Corporate Loyalty,LBMS,net_revenue,redemption_cost,0E-11
14,BDI,7/2022,Corporate Loyalty,LBMS,gross_revenue,redemption_cost,7310.50156601931
15,BDI,7/2022,Corporate Loyalty,LBMS,net_revenue,redemption_cost,0E-11
16,BDI,7/2022,Corporate Loyalty,LBMS,gross_revenue,redemption_cost,932.27829936636
17,BDI,7/2022,Corporate Loyalty,LBMS,net_revenue,redemption_cost,0E-11
18,BDI,7/2022,Corporate Loyalty,LBMS,gross_revenue,redemption_cost,6.36736567620
19,BDI,7/2022,Corporate Loyalty,LBMS,net_revenue,redemption_cost,0E-11
20,BDI,7/2022,Corporate Loyalty,LBMS,gross_revenue,redemption_cost,219257.00215288401
21,BDI,7/2022,Corporate Loyalty,LBMS,net_revenue,redemption_cost,0E-11
22,BDI,7/2022,Corporate Loyalty,LBMS,gross_revenue,redemption_fee,37.89483055999
23,BDI,7/2022,Corporate Loyalty,LBMS,net_revenue,redemption_fee,37.89483055999
24,BDI,7/2022,Corporate Loyalty,LBMS,gross_revenue,redemption_fee,945.59144059383
25,BDI,7/2022,Corporate Loyalty,LBMS,net_revenue,redemption_fee,945.59144059383
26,BDI,7/2022,Corporate Loyalty,LBMS,gross_revenue,redemption_fee,219.31361173151
27,BDI,7/2022,Corporate Loyalty,LBMS,net_revenue,redemption_fee,219.31361173151
28,BDI,7/2022,Corporate Loyalty,LBMS,gross_revenue,redemption_fee,27.96816594956
29,BDI,7/2022,Corporate Loyalty,LBMS,net_revenue,redemption_fee,27.96816594956
30,BDI,7/2022,Corporate Loyalty,LBMS,gross_revenue,redemption_fee,0.19101972020
31,BDI,7/2022,Corporate Loyalty,LBMS,net_revenue,redemption_fee,0.19101972020
32,BDI,7/2022,Corporate Loyalty,LBMS,gross_revenue,redemption_fee,6577.66701851021
33,BDI,7/2022,Corporate Loyalty,LBMS,net_revenue,redemption_fee,6577.66701851021
34,BDI,8/2022,Corporate Loyalty,LBMS,metrics,total_points,2632747.66888499591
35,BDI,8/2022,Corporate Loyalty,LBMS,metrics,points_accrued,515603.62735160865
36,BDI,8/2022,Corporate Loyalty,LBMS,metrics,points_redeemed,427920.70892936771
37,BDI,8/2022,Corporate Loyalty,LBMS,metrics,total_users,1336179
38,BDI,8/2022,Corporate Loyalty,LBMS,metrics,active_users,195285
39,BDI,8/2022,Corporate Loyalty,LBMS,metrics,accrual_gmv,85911740.998340
40,BDI,8/2022,Corporate Loyalty,LBMS,gross_revenue,management_fee,6030.000000
41,BDI,8/2022,Corporate Loyalty,LBMS,net_revenue,management_fee,6030.000000
42,BDI,8/2022,Corporate Loyalty,LBMS,gross_revenue,other_fee,82.443500
43,BDI,8/2022,Corporate Loyalty,LBMS,net_revenue,other_fee,82.443500
44,BDI,8/2022,Corporate Loyalty,LBMS,gross_revenue,redemption_cost,758.93746756233
45,BDI,8/2022,Corporate Loyalty,LBMS,net_revenue,redemption_cost,0E-11
46,BDI,8/2022,Corporate Loyalty,LBMS,gross_revenue,redemption_cost,69110.53439307315
47,BDI,8/2022,Corporate Loyalty,LBMS,net_revenue,redemption_cost,0E-11
48,BDI,8/2022,Corporate Loyalty,LBMS,gross_revenue,redemption_cost,39611.78258772858
49,BDI,8/2022,Corporate Loyalty,LBMS,net_revenue,redemption_cost,0E-11
50,BDI,8/2022,Corporate Loyalty,LBMS,gross_revenue,redemption_cost,3617.04107748522
51,BDI,8/2022,Corporate Loyalty,LBMS,net_revenue,redemption_cost,0E-11
52,BDI,8/2022,Corporate Loyalty,LBMS,gross_revenue,redemption_cost,381.28913898849
53,BDI,8/2022,Corporate Loyalty,LBMS,net_revenue,redemption_cost,0E-11
54,BDI,8/2022,Corporate Loyalty,LBMS,gross_revenue,redemption_cost,280651.90388209866
55,BDI,8/2022,Corporate Loyalty,LBMS,net_revenue,redemption_cost,0E-11
56,BDI,8/2022,Corporate Loyalty,LBMS,gross_revenue,redemption_fee,22.76797502693
57,BDI,8/2022,Corporate Loyalty,LBMS,net_revenue,redemption_fee,22.76797502693
58,BDI,8/2022,Corporate Loyalty,LBMS,gross_revenue,redemption_fee,2073.30246352615
59,BDI,8/2022,Corporate Loyalty,LBMS,net_revenue,redemption_fee,2073.30246352615
60,BDI,8/2022,Corporate Loyalty,LBMS,gross_revenue,redemption_fee,1188.34570076818
61,BDI,8/2022,Corporate Loyalty,LBMS,net_revenue,redemption_fee,1188.34570076818
62,BDI,8/2022,Corporate Loyalty,LBMS,gross_revenue,redemption_fee,108.51052220162
63,BDI,8/2022,Corporate Loyalty,LBMS,net_revenue,redemption_fee,108.51052220162
64,BDI,8/2022,Corporate Loyalty,LBMS,gross_revenue,redemption_fee,11.43859931229
65,BDI,8/2022,Corporate Loyalty,LBMS,net_revenue,redemption_fee,11.43859931229
66,BDI,8/2022,Corporate Loyalty,LBMS,gross_revenue,redemption_fee,8419.50201690786
67,BDI,8/2022,Corporate Loyalty,LBMS,net_revenue,redemption_fee,8419.50201690786
